"Timestamp","StartedLevel","EndLevel","TimeRemainingOnEnd","JumpPressed","AKeyPressed","DKeyPressed","MKeyPressed","PercentageLevelCompleted","BoosterCollected","SpikeTouched","PoisonCollected","MainButtonPress","PauseButtonPress","ResumeButtonPress","QuitButtonPress","RestartButtonPress","InversionCollected"
"2022/10/19 2:04:16 AM MDT","","","","","","","","","","","","Tutorial","","","","",""
"2022/10/19 2:04:42 AM MDT","","","","","","","","","","","","Level1","","","","",""
"2022/10/19 2:04:42 AM MDT","Level1","","","","","","","","","","","","","","","",""
"2022/10/19 2:04:48 AM MDT","","","","","Level1","","","","","","","","","","","",""
"2022/10/19 2:04:48 AM MDT","","","","","","Level1","","","","","","","","","","",""
"2022/10/19 2:04:49 AM MDT","","","","","","Level1","","","","","","","","","","",""
"2022/10/19 2:04:49 AM MDT","","","","","Level1","","","","","","","","","","","",""
"2022/10/19 2:04:49 AM MDT","","","","","Level1","","","","","","","","","","","",""
"2022/10/19 2:04:49 AM MDT","","","","Level1","","","","","","","","","","","","",""
"2022/10/19 2:04:49 AM MDT","","","","","","Level1","","","","","","","","","","",""
"2022/10/19 2:04:50 AM MDT","","","","Level1","","","","","","","","","","","","",""
"2022/10/19 2:04:50 AM MDT","","","","","","Level1","","","","","","","","","","",""
"2022/10/19 2:04:53 AM MDT","","","","","","","","","","","","","Level1","","","",""
"2022/10/19 2:05:34 AM MDT","","","","","","","","","","","","","","Level1","","",""
"2022/10/19 2:05:35 AM MDT","","","","","Level1","","","","","","","","","","","",""
"2022/10/19 2:05:36 AM MDT","","","","Level1","","","","","","","","","","","","",""
"2022/10/19 2:05:36 AM MDT","","","","Level1","","","","","","","","","","","","",""
"2022/10/19 2:05:36 AM MDT","","","","","","Level1","","","","","","","","","","",""
"2022/10/19 2:05:37 AM MDT","","","","","","Level1","","","","","","","","","","",""
"2022/10/19 2:05:37 AM MDT","","","","","Level1","","","","","","","","","","","",""
"2022/10/19 2:05:38 AM MDT","","","","","","Level1","","","","","","","","","","",""
"2022/10/19 2:05:39 AM MDT","","","","","Level1","","","","","","","","","","","",""
"2022/10/19 2:05:39 AM MDT","","","","Level1","","","","","","","","","","","","",""
"2022/10/19 2:05:39 AM MDT","","","","","","Level1","","","","","","","","","","",""
"2022/10/19 2:05:40 AM MDT","","","","Level1","","","","","","","","","","","","",""
"2022/10/19 2:05:40 AM MDT","","","","","","Level1","","","","","","","","","","",""
"2022/10/19 2:05:40 AM MDT","","","","","","Level1","","","","","","","","","","",""
"2022/10/19 2:05:41 AM MDT","","","","","","Level1","","","","","","","","","","",""
"2022/10/19 2:05:41 AM MDT","","","","","","","","","","","","","","","","","Level1"
"2022/10/19 2:05:41 AM MDT","","","","","","Level1","","","","","","","","","","",""
